timestamp,episode,step,elapsed,state,action,reward,done,success
1771366879.9920201,1,1,0.03699374198913574,"[-0.48842164874076843, -0.00026531785260885954]",1,-1.0,False,False
1771366880.0513167,1,2,0.09629034996032715,"[-0.48895028233528137, -0.0005286569939926267]",1,-1.0,False,False
1771366880.1151319,1,3,0.16010546684265137,"[-0.4897383451461792, -0.0007880529155954719]",1,-1.0,False,False
1771366880.181574,1,4,0.2265477180480957,"[-0.49077990651130676, -0.0010415696306154132]",1,-1.0,False,False
1771366880.2452407,1,5,0.29021430015563965,"[-0.49206721782684326, -0.0012873136438429356]",1,-1.0,False,False
1771366880.308464,1,6,0.3534376621246338,"[-0.49359068274497986, -0.0015234476886689663]",1,-1.0,False,False
1771366880.372036,1,7,0.4170095920562744,"[-0.49533888697624207, -0.0017482045805081725]",1,-1.0,False,False
1771366880.429991,1,8,0.47496461868286133,"[-0.4972987771034241, -0.0019598999060690403]",1,-1.0,False,False
1771366880.4954188,1,9,0.5403923988342285,"[-0.4994557201862335, -0.0021569454111158848]",1,-1.0,False,False
1771366880.553498,1,10,0.5984716415405273,"[-0.5017935633659363, -0.002337859943509102]",1,-1.0,False,False
1771366880.6144876,1,11,0.659461259841919,"[-0.5032948851585388, -0.001501282211393118]",2,-1.0,False,False
1771366880.6821694,1,12,0.7271430492401123,"[-0.5039483308792114, -0.0006534674321301281]",2,-1.0,False,False
1771366880.743649,1,13,0.7886226177215576,"[-0.5037490725517273, 0.00019923961372114718]",2,-1.0,False,False
1771366880.8059914,1,14,0.8509650230407715,"[-0.5026986598968506, 0.001050455030053854]",2,-1.0,False,False
1771366880.867555,1,15,0.9125285148620605,"[-0.5008048415184021, 0.0018938066205009818]",2,-1.0,False,False
1771366880.9260075,1,16,0.9709811210632324,"[-0.49808186292648315, 0.0027229853440076113]",2,-1.0,False,False
1771366880.9933028,1,17,1.0382764339447021,"[-0.49455004930496216, 0.0035317952279001474]",2,-1.0,False,False
1771366881.056156,1,18,1.1011295318603516,"[-0.490235835313797, 0.00431420560926199]",2,-1.0,False,False
1771366881.1139364,1,19,1.1589100360870361,"[-0.48517143726348877, 0.005064400844275951]",2,-1.0,False,False
1771366881.1786969,1,20,1.223670482635498,"[-0.4793946146965027, 0.005776834208518267]",2,-1.0,False,False
1771366881.2371004,1,21,1.282073974609375,"[-0.4729483425617218, 0.006446273531764746]",2,-1.0,False,False
1771366881.3042247,1,22,1.349198341369629,"[-0.46588048338890076, 0.0070678554475307465]",2,-1.0,False,False
1771366881.3632443,1,23,1.4082179069519043,"[-0.45824334025382996, 0.007637128233909607]",2,-1.0,False,False
1771366881.427699,1,24,1.472672700881958,"[-0.45009326934814453, 0.008150096982717514]",2,-1.0,False,False
1771366881.492121,1,25,1.5370945930480957,"[-0.4414899945259094, 0.008603262715041637]",2,-1.0,False,False
1771366881.5548265,1,26,1.5998001098632812,"[-0.4324963390827179, 0.008993655443191528]",2,-1.0,False,False
1771366881.6175964,1,27,1.6625699996948242,"[-0.42317748069763184, 0.009318862110376358]",2,-1.0,False,False
1771366881.6764455,1,28,1.721419095993042,"[-0.41360044479370117, 0.009577043354511261]",2,-1.0,False,False
1771366881.7414587,1,29,1.7864322662353516,"[-0.4038334786891937, 0.009766947478055954]",2,-1.0,False,False
1771366881.8008277,1,30,1.8458013534545898,"[-0.393945574760437, 0.009887909516692162]",2,-1.0,False,False
1771366881.8653674,1,31,1.9103410243988037,"[-0.38400572538375854, 0.009939844720065594]",2,-1.0,False,False
1771366881.9247196,1,32,1.9696931838989258,"[-0.3740825057029724, 0.009923231787979603]",2,-1.0,False,False
1771366881.99087,1,33,2.03584361076355,"[-0.36424341797828674, 0.00983908586204052]",2,-1.0,False,False
1771366882.0528955,1,34,2.0978691577911377,"[-0.3545544743537903, 0.009688928723335266]",2,-1.0,False,False
1771366882.1103635,1,35,2.15533709526062,"[-0.3450797498226166, 0.009474745951592922]",2,-1.0,False,False
1771366882.1768796,1,36,2.221853256225586,"[-0.3358807861804962, 0.009198945015668869]",2,-1.0,False,False
1771366882.2386577,1,37,2.2836313247680664,"[-0.3270165026187897, 0.008864305913448334]",2,-1.0,False,False
1771366882.3032997,1,38,2.348273277282715,"[-0.320542573928833, 0.006473929155617952]",0,-1.0,False,False
1771366882.3641653,1,39,2.4091389179229736,"[-0.31649908423423767, 0.004043464548885822]",0,-1.0,False,False
1771366882.4254632,1,40,2.4704368114471436,"[-0.3149108588695526, 0.0015882347943261266]",0,-1.0,False,False
1771366882.4871795,1,41,2.5321531295776367,"[-0.31578752398490906, -0.0008766641840338707]",0,-1.0,False,False
1771366882.548801,1,42,2.5937745571136475,"[-0.3191237449645996, -0.0033362300600856543]",0,-1.0,False,False
1771366882.611088,1,43,2.6560616493225098,"[-0.32489916682243347, -0.005775408819317818]",0,-1.0,False,False
1771366882.673562,1,44,2.7185356616973877,"[-0.3330781161785126, -0.00817895494401455]",0,-1.0,False,False
1771366882.735666,1,45,2.7806396484375,"[-0.34360945224761963, -0.010531321167945862]",0,-1.0,False,False
1771366882.7984238,1,46,2.843397378921509,"[-0.35642603039741516, -0.012816592119634151]",0,-1.0,False,False
1771366882.8607202,1,47,2.905693769454956,"[-0.3714445233345032, -0.015018485486507416]",0,-1.0,False,False
1771366882.9231052,1,48,2.968078851699829,"[-0.38856494426727295, -0.017120424658060074]",0,-1.0,False,False
1771366882.9847493,1,49,3.0297229290008545,"[-0.40767064690589905, -0.019105704501271248]",0,-1.0,False,False
1771366883.0439036,1,50,3.0888772010803223,"[-0.4286283850669861, -0.020957743749022484]",0,-1.0,False,False
1771366883.10313,1,51,3.148103713989258,"[-0.4512888193130493, -0.022660424932837486]",0,-1.0,False,False
1771366883.1718538,1,52,3.216827392578125,"[-0.4754873216152191, -0.0241985060274601]",0,-1.0,False,False
1771366883.2300363,1,53,3.275009870529175,"[-0.5010454058647156, -0.025558089837431908]",0,-1.0,False,False
1771366883.2966416,1,54,3.3416152000427246,"[-0.5277725458145142, -0.026727112010121346]",0,-1.0,False,False
1771366883.360385,1,55,3.4053585529327393,"[-0.5554683208465576, -0.027695808559656143]",0,-1.0,False,False
1771366883.4231784,1,56,3.4681520462036133,"[-0.5839254856109619, -0.028457151725888252]",0,-1.0,False,False
1771366883.4854803,1,57,3.53045392036438,"[-0.6129326820373535, -0.029007166624069214]",0,-1.0,False,False
1771366883.5450253,1,58,3.589998960494995,"[-0.6422778367996216, -0.029345154762268066]",0,-1.0,False,False
1771366883.6088943,1,59,3.6538679599761963,"[-0.6717515587806702, -0.029473748058080673]",0,-1.0,False,False
1771366883.673731,1,60,3.7187047004699707,"[-0.7011503577232361, -0.029398826882243156]",0,-1.0,False,False
1771366883.7371562,1,61,3.7821297645568848,"[-0.7302796244621277, -0.0291292704641819]",0,-1.0,False,False
