timestamp,episode,step,elapsed,state,action,reward,done,success
1771365504.2594607,1,1,2.0459213256835938,"[0.9965140223503113, 0.08342546224594116, 0.9993996620178223, 0.03464525192975998, -0.13564133644104004, 0.15611128509044647]",1,-1.0,False,False
1771365504.3280592,1,2,2.1145198345184326,"[0.9988376498222351, 0.048200927674770355, 0.9976871609687805, 0.06797271221876144, -0.20914186537265778, 0.16633088886737823]",1,-1.0,False,False
1771365504.3853364,1,3,2.171797037124634,"[0.9999930262565613, 0.003733666380867362, 0.9953761696815491, 0.09605325013399124, -0.2258223593235016, 0.10373011231422424]",1,-1.0,False,False
1771365504.4548376,1,4,2.241298198699951,"[0.9992740750312805, -0.03809649124741554, 0.9944732189178467, 0.10499070584774017, -0.18386441469192505, -0.0217457078397274]",1,-1.0,False,False
1771365504.5306447,1,5,2.317105293273926,"[0.9977691769599915, -0.06675789505243301, 0.9963510632514954, 0.085349902510643, -0.09805017709732056, -0.1763582080602646]",1,-1.0,False,False
1771365504.5926187,1,6,2.3790793418884277,"[0.9971033334732056, -0.07605866342782974, 0.999358057975769, 0.035826049745082855, 0.005016683135181665, -0.31250515580177307]",1,-1.0,False,False
1771365504.6526957,1,7,2.4391562938690186,"[0.9968864917755127, -0.07885003089904785, 0.9999996423721313, -0.0008482493576593697, -0.03350813314318657, -0.048631634563207626]",2,-1.0,False,False
1771365504.7153084,1,8,2.5017690658569336,"[0.9960309863090515, -0.08900691568851471, 0.9998608827590942, 0.01667841710150242, -0.06572329252958298, 0.21910135447978973]",2,-1.0,False,False
1771365504.7795086,1,9,2.565969228744507,"[0.9946398138999939, -0.10340064764022827, 0.9965640306472778, 0.08282561600208282, -0.07376977801322937, 0.4294181764125824]",2,-1.0,False,False
1771365504.8414605,1,10,2.6279211044311523,"[0.9932498931884766, -0.11599414050579071, 0.9835876226425171, 0.18043102324008942, -0.047067005187273026, 0.5363708734512329]",2,-1.0,False,False
1771365504.9034522,1,11,2.689912796020508,"[0.9927898049354553, -0.11986830830574036, 0.9584541320800781, 0.28524667024612427, 0.012279882095754147, 0.5229485034942627]",2,-1.0,False,False
1771365504.97261,1,12,2.759070634841919,"[0.993932843208313, -0.10998847335577011, 0.9273306727409363, 0.3742429316043854, 0.08771619945764542, 0.4064926207065582]",2,-1.0,False,False
1771365505.0294201,1,13,2.81588077545166,"[0.9963329434394836, -0.0855606347322464, 0.9014334678649902, 0.4329177141189575, 0.15403416752815247, 0.22921523451805115]",2,-1.0,False,False
1771365505.0926778,1,14,2.879138469696045,"[0.9987094402313232, -0.05078844353556633, 0.8895190954208374, 0.4568979740142822, 0.1876509189605713, 0.04051566496491432]",2,-1.0,False,False
1771365505.1557908,1,15,2.942251443862915,"[0.9999054074287415, -0.013752375729382038, 0.8933708071708679, 0.4493201673030853, 0.1749628335237503, -0.11800581961870193]",2,-1.0,False,False
1771365505.217613,1,16,3.0040736198425293,"[0.9991394877433777, 0.04147602245211601, 0.9341959357261658, 0.3567603826522827, 0.36507678031921387, -0.8725448250770569]",0,-1.0,False,False
1771365505.2796557,1,17,3.0661163330078125,"[0.9921591877937317, 0.12498034536838531, 0.9914154410362244, 0.13074947893619537, 0.45058760046958923, -1.4146173000335693]",0,-1.0,False,False
1771365505.3393805,1,18,3.1258411407470703,"[0.9779244661331177, 0.2089587301015854, 0.9846476316452026, -0.1745537370443344, 0.37210774421691895, -1.581458568572998]",0,-1.0,False,False
1771365505.402145,1,19,3.188605546951294,"[0.9657068848609924, 0.25963470339775085, 0.8901916742324829, -0.45558616518974304, 0.12809333205223083, -1.3355491161346436]",0,-1.0,False,False
1771365505.463856,1,20,3.250316619873047,"[0.9672876596450806, 0.2536819875240326, 0.7704437375068665, -0.637507975101471, -0.19181634485721588, -0.8187603950500488]",0,-1.0,False,False
1771365505.5266235,1,21,3.313084125518799,"[0.9822573661804199, 0.1875377893447876, 0.7003445029258728, -0.7138050198554993, -0.4714783728122711, -0.21760624647140503]",0,-1.0,False,False
1771365505.588782,1,22,3.3752427101135254,"[0.9970837831497192, 0.07631485164165497, 0.709080159664154, -0.7051278352737427, -0.6261565089225769, 0.3204170763492584]",0,-1.0,False,False
1771365505.647721,1,23,3.4341816902160645,"[0.9972361326217651, -0.07429756969213486, 0.816537082195282, -0.5772929787635803, -0.8511245250701904, 1.3136106729507446]",2,-1.0,False,False
1771365505.711045,1,24,3.4975056648254395,"[0.9688360691070557, -0.24770276248455048, 0.9613752365112305, -0.2752411663532257, -0.8695005178451538, 1.979752779006958]",2,-1.0,False,False
1771365505.7724283,1,25,3.5588889122009277,"[0.9195520281791687, -0.39296823740005493, 0.9903200268745422, 0.1388029009103775, -0.6195814609527588, 2.1014699935913086]",2,-1.0,False,False
1771365505.83456,1,26,3.621020555496216,"[0.8867416381835938, -0.46226540207862854, 0.8665712475776672, 0.499053418636322, -0.11723968386650085, 1.6552444696426392]",2,-1.0,False,False
1771365505.8960364,1,27,3.682497024536133,"[0.9028826951980591, -0.42988696694374084, 0.7113951444625854, 0.702792227268219, 0.4770367741584778, 0.8823736906051636]",2,-1.0,False,False
1771365505.9572997,1,28,3.743760347366333,"[0.9563452005386353, -0.29223936796188354, 0.6444541215896606, 0.7646429538726807, 0.9700826406478882, 0.03594120219349861]",2,-1.0,False,False
1771365506.0179431,1,29,3.804403781890869,"[0.9973205327987671, -0.07315586507320404, 0.6943829655647278, 0.7196056842803955, 1.2142916917800903, -0.6672289371490479]",2,-1.0,False,False
1771365506.0813737,1,30,3.8678343296051025,"[0.9860209822654724, 0.16662128269672394, 0.8099268078804016, 0.5865309238433838, 1.1386513710021973, -1.02955162525177]",2,-1.0,False,False
1771365506.141113,1,31,3.9275736808776855,"[0.9261767864227295, 0.3770895302295685, 0.9374651908874512, 0.34807896614074707, 1.0077602863311768, -1.609463095664978]",0,-1.0,False,False
1771365506.2054324,1,32,3.9918930530548096,"[0.8511949777603149, 0.5248495936393738, 0.9998793601989746, 0.015534253790974617, 0.6118437647819519, -1.712044596672058]",0,-1.0,False,False
1771365506.266604,1,33,4.053064584732056,"[0.8152677416801453, 0.5790842175483704, 0.9554861187934875, -0.2950361371040344, 0.0153616638854146, -1.3781853914260864]",0,-1.0,False,False
1771365506.326634,1,34,4.1130945682525635,"[0.8507125973701477, 0.5256310701370239, 0.869690477848053, -0.49359747767448425, -0.6549076437950134, -0.7571495771408081]",0,-1.0,False,False
1771365506.3900113,1,35,4.176471948623657,"[0.9351241588592529, 0.3543202579021454, 0.8280370831489563, -0.5606732964515686, -1.2252976894378662, -0.035068050026893616]",0,-1.0,False,False
1771365506.4495354,1,36,4.2359960079193115,"[0.9966104626655579, 0.08226532489061356, 0.8579009175300598, -0.5138151049613953, -1.514134168624878, 0.5439291596412659]",0,-1.0,False,False
1771365506.5160317,1,37,4.302492380142212,"[0.9710289835929871, -0.23896172642707825, 0.9430953860282898, -0.3325223922729492, -1.6492936611175537, 1.373822569847107]",2,-1.0,False,False
1771365506.5764792,1,38,4.362939834594727,"[0.8539589047431946, -0.5203404426574707, 0.9994506239891052, -0.03314310684800148, -1.3430358171463013, 1.5792860984802246]",2,-1.0,False,False
1771365506.6373527,1,39,4.423813343048096,"[0.7280859351158142, -0.68548583984375, 0.9676695466041565, 0.2522215247154236, -0.6956506371498108, 1.2343213558197021]",2,-1.0,False,False
1771365506.7016408,1,40,4.488101482391357,"[0.6863938570022583, -0.7272300124168396, 0.9039928913116455, 0.42754748463630676, 0.11874745041131973, 0.605521559715271]",2,-1.0,False,False
1771365506.763541,1,41,4.550001621246338,"[0.7601209878921509, -0.6497815847396851, 0.8823201060295105, 0.470649778842926, 0.9383454322814941, -0.1290728598833084]",2,-1.0,False,False
1771365506.828629,1,42,4.615089654922485,"[0.9004942178726196, -0.4348680078983307, 0.9236828684806824, 0.3831579387187958, 1.5912965536117554, -0.8078980445861816]",2,-1.0,False,False
1771365506.8876588,1,43,4.674119472503662,"[0.9954115748405457, -0.09568602591753006, 0.9817875027656555, 0.18998248875141144, 1.8731001615524292, -1.1243221759796143]",2,-1.0,False,False
1771365506.949569,1,44,4.736029624938965,"[0.9651549458503723, 0.26167911291122437, 0.9999203085899353, -0.012624022550880909, 1.6513718366622925, -0.810887336730957]",2,-1.0,False,False
1771365507.012353,1,45,4.798813581466675,"[0.8600369691848755, 0.5102316737174988, 0.9951515197753906, -0.09835361689329147, 1.0026801824569702, 0.003633462591096759]",2,-1.0,False,False
1771365507.071801,1,46,4.858261585235596,"[0.7787458896636963, 0.6273394823074341, 0.9975593090057373, -0.0698242262005806, 0.402451753616333, 0.2926289141178131]",0,-1.0,False,False
1771365507.1331177,1,47,4.919578313827515,"[0.7699605226516724, 0.638091504573822, 0.9998281598091125, 0.01853741705417633, -0.26287782192230225, 0.5800160765647888]",0,-1.0,False,False
1771365507.1963036,1,48,4.98276424407959,"[0.8378315567970276, 0.5459288954734802, 0.98830646276474, 0.15248072147369385, -0.8596090078353882, 0.7299003601074219]",0,-1.0,False,False
1771365507.2580302,1,49,5.044490814208984,"[0.9351986646652222, 0.35412344336509705, 0.9580454230308533, 0.28661632537841797, -1.250912070274353, 0.5871593356132507]",0,-1.0,False,False
1771365507.317701,1,50,5.104161739349365,"[0.9951037168502808, 0.09883616119623184, 0.9354459643363953, 0.3534696698188782, -1.3212273120880127, 0.05863102525472641]",0,-1.0,False,False
1771365507.3835506,1,51,5.170011281967163,"[0.9857397675514221, -0.16827692091464996, 0.9356896877288818, 0.35282400250434875, -1.3042751550674438, -0.10798224061727524]",2,-1.0,False,False
1771365507.4476964,1,52,5.234157085418701,"[0.9203736186027527, -0.3910401463508606, 0.9539424777030945, 0.2999895215034485, -0.9811503291130066, -0.4669547975063324]",2,-1.0,False,False
1771365507.509935,1,53,5.296395540237427,"[0.8531308174133301, -0.5216970443725586, 0.9851275086402893, 0.17182502150535583, -0.4710919260978699, -0.8414395451545715]",2,-1.0,False,False
1771365507.57064,1,54,5.35710072517395,"[0.8327074646949768, -0.5537131428718567, 0.9997224807739258, -0.023558788001537323, 0.08937118202447891, -1.0916862487792969]",2,-1.0,False,False
1771365507.6327965,1,55,5.419257164001465,"[0.8692184090614319, -0.4944283068180084, 0.9690437316894531, -0.24688908457756042, 0.5888705253601074, -1.124500036239624]",2,-1.0,False,False
1771365507.6983724,1,56,5.484833002090454,"[0.9353198409080505, -0.35380327701568604, 0.8990440964698792, -0.43785813450813293, 0.9338070750236511, -0.8584452867507935]",2,-1.0,False,False
1771365507.7578166,1,57,5.544277191162109,"[0.9872626066207886, -0.1590992510318756, 0.8422563076019287, -0.5390772819519043, 1.0401415824890137, -0.24802245199680328]",2,-1.0,False,False
1771365507.820109,1,58,5.606569528579712,"[0.9993913173675537, 0.034885287284851074, 0.8615559339523315, -0.5076626539230347, 0.8612575531005859, 0.6501289010047913]",2,-1.0,False,False
1771365507.8814664,1,59,5.667927026748657,"[0.9857735633850098, 0.16807876527309418, 0.9544165134429932, -0.2984779477119446, 0.4556959569454193, 1.6283459663391113]",2,-1.0,False,False
1771365507.9438648,1,60,5.73032546043396,"[0.9768808484077454, 0.21378451585769653, 0.9950194358825684, 0.09968116134405136, 0.027394449338316917, 2.3196773529052734]",2,-1.0,False,False
1771365508.006312,1,61,5.792772531509399,"[0.9815136194229126, 0.19139236211776733, 0.8345152735710144, 0.550984799861908, -0.2241271734237671, 2.4202311038970947]",2,-1.0,False,False
